1.0005200805446506 - Periods: 215 : 32 : 28, transaction count: 11086.0, delay: 0, smoothing: 0.0
1.000536733124837 - Periods: 215 : 32 : 28, transaction count: 11019.0, delay: 0, smoothing: 0.2
1.0005348822500917 - Periods: 215 : 32 : 28, transaction count: 11000.0, delay: 0, smoothing: 0.30000000000000004
1.0005286945718774 - Periods: 215 : 32 : 28, transaction count: 10978.0, delay: 0, smoothing: 0.4
1.0005371870790547 - Periods: 215 : 32 : 28, transaction count: 10937.0, delay: 0, smoothing: 0.6
1.0005236084354174 - Periods: 215 : 32 : 28, transaction count: 10912.0, delay: 0, smoothing: 0.7999999999999999
1.0005185699678751 - Periods: 215 : 32 : 28, transaction count: 10906.0, delay: 0, smoothing: 0.8999999999999999
1.0005151078017347 - Periods: 215 : 32 : 28, transaction count: 10886.0, delay: 0, smoothing: 0.9999999999999999
1.0005233181901416 - Periods: 215 : 32 : 28, transaction count: 10872.0, delay: 0, smoothing: 1.0999999999999999
1.000524956269733 - Periods: 215 : 32 : 28, transaction count: 10870.0, delay: 0, smoothing: 1.2
1.000523402444291 - Periods: 215 : 32 : 28, transaction count: 10870.0, delay: 0, smoothing: 1.3
1.000515977726688 - Periods: 215 : 32 : 28, transaction count: 10874.0, delay: 0, smoothing: 1.4000000000000001
1.0005023116551681 - Periods: 215 : 32 : 28, transaction count: 10879.0, delay: 0, smoothing: 1.5000000000000002
1.0005010320673196 - Periods: 215 : 32 : 28, transaction count: 10880.0, delay: 0, smoothing: 1.6000000000000003
1.000501685200521 - Periods: 215 : 32 : 28, transaction count: 10875.0, delay: 0, smoothing: 1.7000000000000004
1.0005018446319938 - Periods: 215 : 32 : 28, transaction count: 10886.0, delay: 0, smoothing: 1.8000000000000005
1.0004991433720574 - Periods: 215 : 32 : 28, transaction count: 10895.0, delay: 0, smoothing: 1.9000000000000006
1.0005013686970756 - Periods: 215 : 32 : 28, transaction count: 10905.0, delay: 0, smoothing: 2.0000000000000004
1.0004994025025933 - Periods: 215 : 32 : 28, transaction count: 10920.0, delay: 0, smoothing: 2.1000000000000005
1.0004900307644295 - Periods: 215 : 32 : 28, transaction count: 10934.0, delay: 0, smoothing: 2.2000000000000006
1.0004885553065184 - Periods: 215 : 32 : 28, transaction count: 10954.0, delay: 0, smoothing: 2.3000000000000007
1.0004877559630516 - Periods: 215 : 32 : 28, transaction count: 11265.0, delay: 1, smoothing: 0.0
1.0004781145956614 - Periods: 215 : 32 : 28, transaction count: 11232.0, delay: 1, smoothing: 0.1
1.0004790617458863 - Periods: 215 : 32 : 28, transaction count: 11214.0, delay: 1, smoothing: 0.2
1.0004860058418472 - Periods: 215 : 32 : 28, transaction count: 11187.0, delay: 1, smoothing: 0.30000000000000004
1.0004842245398013 - Periods: 215 : 32 : 28, transaction count: 11162.0, delay: 1, smoothing: 0.4
1.000489775831006 - Periods: 215 : 32 : 28, transaction count: 11140.0, delay: 1, smoothing: 0.5
1.0004849932347555 - Periods: 215 : 32 : 28, transaction count: 11124.0, delay: 1, smoothing: 0.6
1.00047767023639 - Periods: 215 : 32 : 28, transaction count: 11106.0, delay: 1, smoothing: 0.7
