1.0006081242948752 - Periods: 228 : 52 : 52, transaction count: 11918.0, delay: 1
1.0006050206715151 - Periods: 230 : 54 : 51, transaction count: 11891.0, delay: 2
1.000604877510824 - Periods: 230 : 55 : 51, transaction count: 11842.0, delay: 2
1.0006038478685482 - Periods: 229 : 54 : 51, transaction count: 11915.0, delay: 2
1.0006032235099396 - Periods: 232 : 54 : 52, transaction count: 11669.0, delay: 1
1.0006019860377127 - Periods: 229 : 52 : 52, transaction count: 11890.0, delay: 1
1.0006017725422032 - Periods: 229 : 53 : 51, transaction count: 11967.0, delay: 2
1.000601691883889 - Periods: 231 : 56 : 52, transaction count: 11582.0, delay: 1
1.0006015860560276 - Periods: 232 : 55 : 52, transaction count: 11606.0, delay: 1
1.000601169957575 - Periods: 232 : 53 : 52, transaction count: 11730.0, delay: 1
1.000600797280903 - Periods: 227 : 52 : 51, transaction count: 11944.0, delay: 1
1.0006006004346781 - Periods: 229 : 55 : 51, transaction count: 11857.0, delay: 2
1.0006001743745998 - Periods: 228 : 57 : 52, transaction count: 11618.0, delay: 1
1.0006001270904967 - Periods: 227 : 51 : 51, transaction count: 12024.0, delay: 1
1.000600022577096 - Periods: 227 : 53 : 53, transaction count: 11846.0, delay: 1
1.0005999018680194 - Periods: 231 : 51 : 51, transaction count: 11948.0, delay: 1
1.0005997160778033 - Periods: 228 : 57 : 53, transaction count: 11561.0, delay: 1
1.000599008858506 - Periods: 232 : 54 : 50, transaction count: 11874.0, delay: 2
1.00059898417917 - Periods: 230 : 51 : 51, transaction count: 12089.0, delay: 2
1.0005980731045492 - Periods: 232 : 52 : 52, transaction count: 11809.0, delay: 1
1.0005976949208109 - Periods: 230 : 52 : 52, transaction count: 11861.0, delay: 1
1.0005975317933569 - Periods: 231 : 52 : 52, transaction count: 11844.0, delay: 1
1.0005975005021743 - Periods: 227 : 53 : 51, transaction count: 11898.0, delay: 1
1.000597485014921 - Periods: 231 : 55 : 52, transaction count: 11630.0, delay: 1
1.0005971657770518 - Periods: 232 : 56 : 52, transaction count: 11561.0, delay: 1
1.000596740912395 - Periods: 229 : 54 : 52, transaction count: 11868.0, delay: 2
1.0005967256023511 - Periods: 230 : 51 : 51, transaction count: 11969.0, delay: 1
1.0005963277562915 - Periods: 228 : 54 : 52, transaction count: 11777.0, delay: 1
1.0005961607910632 - Periods: 230 : 56 : 52, transaction count: 11606.0, delay: 1
1.0005960283510047 - Periods: 229 : 53 : 52, transaction count: 11922.0, delay: 2
1.0005960033393255 - Periods: 228 : 51 : 51, transaction count: 11996.0, delay: 1
1.0005958779299642 - Periods: 230 : 53 : 51, transaction count: 11945.0, delay: 2
1.0005955235575028 - Periods: 229 : 51 : 51, transaction count: 12110.0, delay: 2
1.0005952837612417 - Periods: 231 : 54 : 51, transaction count: 11850.0, delay: 2
1.000595186456351 - Periods: 231 : 54 : 52, transaction count: 11699.0, delay: 1
1.0005949680073338 - Periods: 231 : 53 : 52, transaction count: 11761.0, delay: 1
1.0005949513571075 - Periods: 228 : 54 : 53, transaction count: 11727.0, delay: 1
1.0005947302228764 - Periods: 229 : 56 : 52, transaction count: 11638.0, delay: 1
1.0005946277847555 - Periods: 227 : 52 : 52, transaction count: 11927.0, delay: 1
1.0005945636794569 - Periods: 232 : 55 : 50, transaction count: 11819.0, delay: 2
1.0005939895059703 - Periods: 232 : 51 : 51, transaction count: 11917.0, delay: 1
1.0005936344782547 - Periods: 230 : 56 : 53, transaction count: 11556.0, delay: 1
1.0005935865161095 - Periods: 232 : 50 : 50, transaction count: 12156.0, delay: 2
1.0005934569869235 - Periods: 232 : 54 : 53, transaction count: 11635.0, delay: 1
1.000593112058613 - Periods: 229 : 55 : 52, transaction count: 11807.0, delay: 2
1.0005929447289197 - Periods: 229 : 56 : 53, transaction count: 11589.0, delay: 1
1.000592818336468 - Periods: 228 : 53 : 52, transaction count: 11844.0, delay: 1
1.0005925247254706 - Periods: 232 : 53 : 50, transaction count: 11929.0, delay: 2
1.0005924619517856 - Periods: 232 : 53 : 53, transaction count: 11714.0, delay: 1
1.0005923497760072 - Periods: 231 : 53 : 51, transaction count: 11903.0, delay: 2
1.0005922591826228 - Periods: 228 : 52 : 51, transaction count: 11923.0, delay: 1
1.0005920483282533 - Periods: 232 : 55 : 53, transaction count: 11567.0, delay: 1
1.0005918074704359 - Periods: 227 : 53 : 52, transaction count: 11869.0, delay: 1
1.0005917983744024 - Periods: 231 : 56 : 51, transaction count: 11623.0, delay: 1
1.0005913992523814 - Periods: 231 : 57 : 52, transaction count: 11552.0, delay: 1
1.000591085397359 - Periods: 229 : 51 : 51, transaction count: 11984.0, delay: 1
1.000590883876413 - Periods: 230 : 55 : 50, transaction count: 11874.0, delay: 2
1.0005907931884754 - Periods: 230 : 55 : 52, transaction count: 11794.0, delay: 2
1.0005907083916041 - Periods: 230 : 54 : 52, transaction count: 11845.0, delay: 2
1.0005902103678597 - Periods: 230 : 55 : 52, transaction count: 11660.0, delay: 1
1.00059009872175 - Periods: 232 : 54 : 51, transaction count: 11708.0, delay: 1
1.0005900407080612 - Periods: 230 : 50 : 50, transaction count: 12203.0, delay: 2
1.000589949478239 - Periods: 230 : 54 : 50, transaction count: 11924.0, delay: 2
1.0005899050969136 - Periods: 231 : 56 : 54, transaction count: 11504.0, delay: 1
1.0005898105444504 - Periods: 231 : 55 : 51, transaction count: 11801.0, delay: 2
1.0005896705029014 - Periods: 229 : 57 : 52, transaction count: 11585.0, delay: 1
1.0005894929077612 - Periods: 232 : 55 : 51, transaction count: 11646.0, delay: 1
1.0005892474105496 - Periods: 232 : 54 : 51, transaction count: 11827.0, delay: 2
1.000588768746859 - Periods: 232 : 53 : 51, transaction count: 11764.0, delay: 1
1.0005887639246944 - Periods: 231 : 54 : 50, transaction count: 11903.0, delay: 2
1.0005886262434016 - Periods: 228 : 56 : 52, transaction count: 11673.0, delay: 1
1.0005883774961473 - Periods: 231 : 53 : 50, transaction count: 11952.0, delay: 2
1.000588369671649 - Periods: 229 : 57 : 53, transaction count: 11535.0, delay: 1
1.000588052445535 - Periods: 230 : 52 : 51, transaction count: 11879.0, delay: 1
1.0005879857702165 - Periods: 232 : 56 : 53, transaction count: 11520.0, delay: 1
1.0005879404283637 - Periods: 232 : 58 : 52, transaction count: 11478.0, delay: 1
1.0005878701414979 - Periods: 228 : 56 : 53, transaction count: 11618.0, delay: 1
1.000587864852299 - Periods: 228 : 57 : 54, transaction count: 11527.0, delay: 1
1.000587756391124 - Periods: 229 : 54 : 50, transaction count: 11956.0, delay: 2
1.0005875935814554 - Periods: 228 : 53 : 53, transaction count: 11810.0, delay: 1
1.0005874306705824 - Periods: 229 : 52 : 51, transaction count: 11903.0, delay: 1
1.000587427020598 - Periods: 229 : 53 : 52, transaction count: 11813.0, delay: 1
1.000587358604513 - Periods: 230 : 55 : 53, transaction count: 11612.0, delay: 1
1.0005872509488372 - Periods: 231 : 52 : 51, transaction count: 11855.0, delay: 1
1.0005871681547713 - Periods: 231 : 55 : 51, transaction count: 11669.0, delay: 1
1.0005869618942524 - Periods: 231 : 58 : 52, transaction count: 11501.0, delay: 1
1.0005864909356514 - Periods: 230 : 51 : 50, transaction count: 12109.0, delay: 2
1.0005864884744837 - Periods: 231 : 55 : 54, transaction count: 11556.0, delay: 1
1.0005864046313868 - Periods: 231 : 54 : 52, transaction count: 11818.0, delay: 2
1.0005860137923381 - Periods: 231 : 56 : 53, transaction count: 11532.0, delay: 1
1.0005857739122108 - Periods: 232 : 52 : 51, transaction count: 11828.0, delay: 1
1.000585303741219 - Periods: 229 : 53 : 50, transaction count: 12007.0, delay: 2
1.000585290461711 - Periods: 228 : 54 : 51, transaction count: 11973.0, delay: 2
1.0005851723797503 - Periods: 230 : 54 : 52, transaction count: 11727.0, delay: 1
1.0005850771744365 - Periods: 232 : 56 : 51, transaction count: 11606.0, delay: 1
1.000585075251607 - Periods: 229 : 58 : 51, transaction count: 11707.0, delay: 2
1.000585031732561 - Periods: 231 : 53 : 52, transaction count: 11879.0, delay: 2
1.0005849480681666 - Periods: 232 : 55 : 51, transaction count: 11772.0, delay: 2
1.0005848646358786 - Periods: 230 : 56 : 51, transaction count: 11652.0, delay: 1
1.0005848042504406 - Periods: 230 : 51 : 50, transaction count: 11982.0, delay: 1
1.000584662367696 - Periods: 230 : 53 : 52, transaction count: 11785.0, delay: 1
1.0005846525305626 - Periods: 231 : 51 : 50, transaction count: 11963.0, delay: 1
1.0005846385289483 - Periods: 228 : 57 : 56, transaction count: 11463.0, delay: 1
1.0005845327321832 - Periods: 231 : 50 : 50, transaction count: 12191.0, delay: 2
1.000584412693804 - Periods: 231 : 54 : 51, transaction count: 11735.0, delay: 1
1.0005842616781329 - Periods: 228 : 54 : 52, transaction count: 11897.0, delay: 2
1.0005841975251712 - Periods: 231 : 53 : 51, transaction count: 11790.0, delay: 1
1.0005841739285124 - Periods: 229 : 55 : 50, transaction count: 11899.0, delay: 2
1.000584030641462 - Periods: 231 : 54 : 54, transaction count: 11647.0, delay: 1
1.0005836814727769 - Periods: 228 : 50 : 50, transaction count: 12255.0, delay: 2
1.0005834331943009 - Periods: 230 : 53 : 50, transaction count: 11976.0, delay: 2
1.000583401869387 - Periods: 230 : 56 : 54, transaction count: 11517.0, delay: 1
1.0005833382956448 - Periods: 228 : 54 : 50, transaction count: 11990.0, delay: 2
1.000583319493903 - Periods: 227 : 55 : 53, transaction count: 11705.0, delay: 1
1.000583314273933 - Periods: 229 : 54 : 52, transaction count: 11756.0, delay: 1
1.0005833016844872 - Periods: 228 : 52 : 52, transaction count: 12023.0, delay: 2
1.0005832609609449 - Periods: 228 : 57 : 51, transaction count: 11655.0, delay: 1
1.0005831887176735 - Periods: 230 : 58 : 51, transaction count: 11684.0, delay: 2
1.0005831580032105 - Periods: 231 : 55 : 50, transaction count: 11856.0, delay: 2
1.0005831155318812 - Periods: 227 : 57 : 53, transaction count: 11595.0, delay: 1
1.0005829921260436 - Periods: 230 : 57 : 51, transaction count: 11734.0, delay: 2
1.0005828460481456 - Periods: 232 : 53 : 51, transaction count: 11886.0, delay: 2
1.0005827935985223 - Periods: 232 : 57 : 52, transaction count: 11530.0, delay: 1
1.0005826490277439 - Periods: 227 : 54 : 53, transaction count: 11763.0, delay: 1
1.0005824558864684 - Periods: 229 : 56 : 54, transaction count: 11543.0, delay: 1
1.0005819932371625 - Periods: 230 : 53 : 52, transaction count: 11902.0, delay: 2
1.000581978213441 - Periods: 229 : 50 : 50, transaction count: 12234.0, delay: 2
1.000581977581707 - Periods: 231 : 55 : 53, transaction count: 11583.0, delay: 1
1.000581913639818 - Periods: 229 : 52 : 51, transaction count: 12026.0, delay: 2
1.0005818221328007 - Periods: 228 : 54 : 54, transaction count: 11719.0, delay: 1
1.000581333329269 - Periods: 230 : 57 : 52, transaction count: 11562.0, delay: 1
1.0005813272116608 - Periods: 228 : 51 : 50, transaction count: 12027.0, delay: 1
1.0005811553168429 - Periods: 229 : 56 : 55, transaction count: 11509.0, delay: 1
1.000581130592276 - Periods: 230 : 56 : 51, transaction count: 11792.0, delay: 2
1.0005810422973425 - Periods: 229 : 56 : 51, transaction count: 11813.0, delay: 2
1.0005808409104169 - Periods: 228 : 52 : 51, transaction count: 12087.0, delay: 2
1.0005808135205951 - Periods: 232 : 56 : 50, transaction count: 11757.0, delay: 2
1.0005807522837145 - Periods: 230 : 56 : 55, transaction count: 11498.0, delay: 1
1.000580679642453 - Periods: 229 : 56 : 51, transaction count: 11684.0, delay: 1
1.0005802560808823 - Periods: 230 : 54 : 53, transaction count: 11684.0, delay: 1
1.0005802428270245 - Periods: 231 : 57 : 51, transaction count: 11595.0, delay: 1
1.000580160575434 - Periods: 229 : 56 : 56, transaction count: 11500.0, delay: 1
1.0005800842328776 - Periods: 231 : 55 : 52, transaction count: 11767.0, delay: 2
1.0005800529929432 - Periods: 228 : 51 : 51, transaction count: 12163.0, delay: 2
1.000579844006155 - Periods: 228 : 56 : 51, transaction count: 11866.0, delay: 2
1.000579777146231 - Periods: 229 : 51 : 50, transaction count: 12137.0, delay: 2
1.000579376432573 - Periods: 232 : 58 : 53, transaction count: 11434.0, delay: 1
1.0005791756701254 - Periods: 229 : 53 : 53, transaction count: 11788.0, delay: 1
1.0005791730866063 - Periods: 228 : 51 : 50, transaction count: 12160.0, delay: 2
1.00057916001602 - Periods: 230 : 52 : 51, transaction count: 12012.0, delay: 2
1.0005791443908736 - Periods: 229 : 54 : 53, transaction count: 11716.0, delay: 1
1.0005791434103637 - Periods: 230 : 55 : 51, transaction count: 11703.0, delay: 1
1.0005791310078853 - Periods: 231 : 50 : 50, transaction count: 12055.0, delay: 1
1.0005789932782077 - Periods: 228 : 52 : 50, transaction count: 12095.0, delay: 2
1.0005789404328218 - Periods: 227 : 56 : 53, transaction count: 11644.0, delay: 1
1.0005787774807948 - Periods: 230 : 57 : 53, transaction count: 11509.0, delay: 1
1.0005787176722205 - Periods: 231 : 54 : 53, transaction count: 11656.0, delay: 1
1.0005787148819798 - Periods: 232 : 51 : 50, transaction count: 11942.0, delay: 1
1.0005786002032393 - Periods: 229 : 57 : 54, transaction count: 11486.0, delay: 1
1.0005785366175965 - Periods: 227 : 55 : 51, transaction count: 11790.0, delay: 1
1.0005785084668037 - Periods: 227 : 58 : 53, transaction count: 11543.0, delay: 1
1.0005782221183792 - Periods: 229 : 58 : 52, transaction count: 11540.0, delay: 1
1.0005782214446475 - Periods: 230 : 53 : 53, transaction count: 11757.0, delay: 1
